x	ulp_err
-651872.69714994775	14305
-725878.20381345123	405138
-998675.52640729328	478889
-251608.63190096372	2760
759848.40327067999	-282330
-265549.0671141916	209093
-680853.76325207448	7470
139734.20180126996	-83566
340949.5298537073	-29929
843308.85093569895	-37011
989732.10497781762	-10860
301173.24662586051	-26437
809643.72409822326	-71070
169730.92911605025	-481839
-722252.70215194253	349388
-603733.76746388397	26498
-302279.94980738126	158492
496876.89482189936	-237395
-947066.56493001233	801828
996073.72834011063	-799537
227963.21601165671	-329795
-556599.16645516199	3136176
467431.43144209642	-670236
-18331.38949778823	26765
737259.23096061568	-570197
-593535.92073219304	514249
-834539.70136696601	542958
-928901.99740645289	520635
914395.54432445625	-788143
-188331.15129166155	131299
645717.85983067693	-56680
-181982.55806069917	81181
878323.10996711918	-1296735
42482.433808621376	-3728
-439837.40124918701	38610
744038.38430909719	-455662
769080.82058068342	-2177661
335235.26752205199	-170570
770574.25226872042	-67640
-955106.78668141668	1403473
141881.33853085217	-89891
234824.81916776931	-342411
-841005.38245126477	555378
282445.65989514347	-193309
-453248.24932305398	39787
-734466.9968856175	577704
302049.5907792591	-170225
-464092.47946908104	280787
398444.7827462061	-301553
111629.24764613024	-60289
-383053.88630569557	175783
746733.19532816613	-32773
43106.847946517315	-31124
622539.18722909002	-54646
398872.34087448206	-4485548
-678485.4165554262	59558
-881210.30779725895	1265271
848095.31563789782	-694850
-137737.77655766296	67628
-648825.52837533224	56952
224655.48506784593	-327754
601483.5846269062	-286511
700257.91979273362	-3947628
707077.77659348352	-316198
715781.05856604269	-363198
57310.084035958607	-30264
674374.65433219599	-547077
-281245.89253334253	233888
886011.74221434316	-438136
531162.6024939511	-288584
-991274.30568790191	87013
825637.76063151436	-613181
409016.58761954552	-1155157
-594700.30466500728	3347146
-195725.94726622372	536
680292.78424984298	-510274
373181.64076738822	-32756
-444365.38635127264	348213
419167.47403457412	-185954
-827857.73596961587	426981
81419.413550501748	-7146
467675.70579228643	-250110
-966504.37350085482	754849
473275.56923008873	-225881
-472276.89297663135	41457
204391.45087099119	-100884
-142884.64420008039	12542
-336035.8140123394	7375
-296237.71036543703	26005
-462589.24644997512	185186
825738.04735099117	-72483
536965.88016996149	-23566
499479.90667661669	-43845
-727640.75039017596	493724
-644687.11780174566	285241
-946404.08575686987	569138
673953.86077522847	-327669
-807473.63729986851	367201
707701.43236303795	-353877
626956.85598786199	-27517
